,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2013-06-30,0.0,0.6344,0.8874,0.9048,0.9048,0.473,-0.0245,-0.026,0.0,0.0,0.0,0.4615,0.473,0.0,0.0,0.0,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45440000.0,5164000.0,0.0,0.0,40276000.0,0.0,40276000.0,0.4,0.4,105565870.0,0.38,0.0,0.0,0.0,45440000.0,45440000.0,40276000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98734000.0,17180000.0,0.0,0.0,81554000.0,0.0,81554000.0,0.81,0.81,105565870.0,1.35,0.0,0.0,0.0,98734000.0,98734000.0,81554000.0,15.319,15.32,0.382,0.0,0.0,0.0,0.0,0.0,1.0,0.95,0.0,0.0,0.0,1617314000.0,1617314000.0,0.0,1671500.0,0.0,0.0,0.0,0.0,0.0,0.051,0.051,0.0,1.7466,0.0,0.0,0.0,0.0,0.0,0.0,1.667,22.0,0.0,0.0,1601538750.0,1596483250.0,1601538750.0,1.349,0.0,0.0,0.0,0.0,0.0,0.0,AB,20.82,24.256470794117647,2197881413.4
2013-03-31,0.0,0.3146,0.4319,0.4615,0.4615,2.3427,-0.0333,-0.0354,0.0,-1.0,0.0,2.3333,2.3427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42997000.0,4766000.0,0.0,0.0,38231000.0,0.0,38231000.0,0.38,0.38,105173342.0,0.4,0.0,0.0,0.0,42997000.0,42997000.0,38231000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81097000.0,18480000.0,0.0,0.0,62617000.0,0.0,62617000.0,0.62,0.62,105173342.0,1.23,0.0,0.0,0.0,81097000.0,81097000.0,62617000.0,15.291,15.373,0.401,0.0,0.0,0.0,0.0,0.0,1.1034,1.053,0.0,0.0,0.0,1616876000.0,1616876000.0,5803000.0,4079000.0,0.0,0.0,0.0,0.0,0.0,0.039,0.039,0.0,2.0683,0.0,0.0,0.0,0.0,0.0,0.0,1.984,28.0,0.0,0.0,1611682750.0,1605750500.0,1611682750.0,1.231,0.0,0.0,0.0,0.0,0.0,0.0,AB,21.9,21.97696975757576,2303296189.7999997
2012-12-31,0.0,1.139,1.1313,1.1354,1.1354,0.3851,-0.0384,-0.0407,0.0,0.0,0.0,0.3846,0.3851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26892000.0,703000.0,0.0,0.0,26189000.0,0.0,26189000.0,0.26,0.26,105173342.0,0.36,0.0,0.0,0.0,26892000.0,26892000.0,26189000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70807000.0,19722000.0,0.0,0.0,51085000.0,0.0,51085000.0,0.51,0.51,105173342.0,0.95,0.0,0.0,0.0,70807000.0,70807000.0,51085000.0,14.833,14.894,0.36,0.0,0.0,0.0,0.0,0.0,1.4458,1.385,0.0,0.0,0.0,1566493000.0,1566493000.0,0.0,4253000.0,0.0,0.0,0.0,0.0,0.0,0.032,0.031,0.0,1.9564,0.0,0.0,0.0,0.0,0.0,0.0,1.863,26.0,0.0,0.0,1625587750.0,1620486000.0,1625587750.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,AB,17.43,17.12235285294118,1833171351.06
2012-09-30,0.0,-1.487,-1.857,-1.8846,-1.8846,-0.3819,-0.091,-0.0937,0.0,-1.0,0.0,-0.3824,-0.3819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16595000.0,6547000.0,0.0,0.0,-23142000.0,0.0,-23142000.0,-0.23,-0.23,105173342.0,0.21,0.0,0.0,0.0,-16595000.0,-16595000.0,-23142000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-149543000.0,25024000.0,0.0,0.0,-174567000.0,0.0,-174567000.0,-1.68,-1.68,105173342.0,0.85,0.0,0.0,0.0,-149543000.0,-149543000.0,-174567000.0,15.217,15.265,0.21,0.0,0.0,0.0,0.0,0.0,-0.9557,-0.913,0.0,0.0,0.0,1605472000.0,1605472000.0,1828000.0,2153500.0,0.0,0.0,0.0,0.0,0.0,-0.107,-0.106,0.0,-0.5122,0.0,0.0,0.0,0.0,0.0,0.0,-0.506,-11.0,0.0,0.0,1641210500.0,1637008750.0,1641210500.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,AB,15.41,14.346176470588233,1620721200.22
2012-06-30,0.0,-0.3496,-0.3991,-0.3824,-0.3824,-0.3856,-0.0695,-0.072,0.0,-1.0,0.0,-0.381,-0.3856,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27803000.0,6464000.0,0.0,0.0,21339000.0,0.0,21339000.0,0.21,0.21,105173342.0,0.26,0.0,0.0,0.0,27803000.0,27803000.0,21339000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98874000.0,25548000.0,0.0,0.0,-124422000.0,0.0,-124422000.0,-1.19,-1.19,105173342.0,0.98,0.0,0.0,0.0,-98874000.0,-98874000.0,-124422000.0,15.728,15.763,0.26,0.0,0.0,0.0,0.0,0.0,1.2814,1.238,0.0,0.0,0.0,1657890000.0,1657890000.0,793000.0,1671500.0,0.0,0.0,0.0,0.0,0.0,-0.074,-0.074,0.0,-0.8285,0.0,0.0,0.0,0.0,0.0,0.0,-0.824,-13.0,0.0,0.0,1681403000.0,1678388000.0,1681403000.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,AB,12.69,12.812857142857142,1334649709.98
2012-03-31,0.0,-0.3594,-0.3888,-0.381,-0.381,-0.7119,-0.0691,-0.0687,0.0,0.2934,0.0,-0.7143,-0.7119,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32707000.0,6008000.0,0.0,0.0,26699000.0,0.0,26699000.0,0.26,0.26,105173342.0,0.12,0.0,0.0,0.0,32707000.0,32707000.0,26699000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83932000.0,26317000.0,0.0,0.0,-110249000.0,0.0,-110249000.0,-1.06,-1.06,105173342.0,1.14,0.0,0.0,0.0,-83932000.0,-83932000.0,-110249000.0,15.852,15.902,0.12,0.0,0.0,0.0,0.0,0.0,0.4727,0.462,0.0,0.0,0.0,1672496000.0,1672496000.0,10289500.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.064,-0.064,0.0,-1.0906,0.0,0.0,0.0,0.0,0.0,0.0,-1.075,-20.0,0.0,0.0,1712363750.0,1710233500.0,1712363750.0,1.143,0.0,0.0,0.0,0.0,0.0,0.0,AB,15.61,14.655999999999997,1641755868.62
2011-12-31,0.0,-4.8562,-5.6468,-5.4651,-5.5714,0.9504,-0.0887,-0.1156,0.0,-1.0,0.0,1.1667,0.9504,0.0,0.0,0.0,0.0289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-193458000.0,6005000.0,0.0,0.0,-199463000.0,0.0,-199463000.0,-1.92,-1.92,105173342.0,0.26,0.0,0.0,0.0,-193458000.0,-193458000.0,-199463000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65581000.0,27687000.0,0.0,0.0,-93268000.0,0.0,-93268000.0,-0.9,-0.9,105173342.0,1.44,0.0,0.0,0.0,-65581000.0,-65581000.0,-93268000.0,15.462,15.489,0.26,0.0,0.0,0.0,0.0,0.0,-0.1371,-0.135,0.0,0.0,0.0,1628984000.0,1628984000.0,638500.0,1226500.0,0.0,0.0,0.0,0.0,0.0,-0.054,-0.053,0.0,-1.6235,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,-21.0,0.0,0.0,1743394500.0,1740628500.0,1743394500.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,AB,13.08,13.193529411764706,1375667313.36
2011-09-30,0.0,0.8015,1.2106,1.1667,1.1667,0.1748,0.0131,-0.0155,0.0,1.3633,0.0,0.0968,0.1748,0.0,0.0,0.0,0.0289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34074000.0,7071000.0,0.0,0.0,27003000.0,0.0,27003000.0,0.26,0.26,105173342.0,0.34,0.0,0.0,0.0,34074000.0,34074000.0,27003000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178045000.0,28925000.0,0.0,0.0,149120000.0,0.0,149120000.0,1.45,1.44,105173342.0,1.3,0.0,0.0,0.0,178045000.0,178045000.0,149120000.0,16.791,16.794,0.34,0.0,0.0,0.0,0.0,0.0,1.325,1.308,0.0,0.0,0.0,1766242000.0,1766242000.0,2601500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.084,0.0,0.9261,0.0,0.0,0.0,0.0,0.0,0.0,0.897,8.0,0.0,0.0,1783040500.0,1780862750.0,1783040500.0,1.313,0.0,0.0,0.0,0.0,0.0,0.0,AB,13.65,15.397777916666664,1435616118.3
2011-06-30,0.0,0.0981,0.1177,0.0968,0.0968,-0.039,0.0152,-0.0167,0.0,0.0,0.0,-0.087,-0.039,0.0,0.0,0.0,0.0325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42745000.0,7233000.0,0.0,0.0,35512000.0,0.0,35512000.0,0.34,0.34,105113157.0,0.42,0.0,0.0,0.0,42745000.0,42745000.0,35512000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162885000.0,28553000.0,0.0,0.0,134332000.0,0.0,134332000.0,1.31,1.3,105113157.0,1.27,0.0,0.0,0.0,162885000.0,162885000.0,134332000.0,16.949,16.951,0.423,0.0,0.0,0.0,0.0,0.0,1.2532,1.235,0.0,0.0,0.0,1781733000.0,1781733000.0,793000.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.076,0.076,0.0,0.9884,0.0,0.0,0.0,0.0,0.0,0.0,0.969,13.0,0.0,0.0,1777325500.0,1775194750.0,1777325500.0,1.263,0.0,0.0,0.0,0.0,0.0,0.0,AB,19.440001000000002,20.080277749999997,2043399877.1931572
2011-03-31,0.0,-0.0581,-0.0755,-0.1064,-0.087,-0.3023,0.0035,-0.0323,0.0,0.3268,0.0,-0.3226,-0.3023,0.0,0.0,0.0,0.0369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51058000.0,7378000.0,0.0,0.0,43680000.0,0.0,43680000.0,0.42,0.42,105086799.0,0.42,0.0,0.0,0.0,51058000.0,51058000.0,43680000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159065000.0,28473000.0,0.0,0.0,130592000.0,0.0,130592000.0,1.28,1.27,105086799.0,1.31,0.0,0.0,0.0,159065000.0,159065000.0,130592000.0,17.022,17.097,0.417,0.0,0.0,0.0,0.0,0.0,1.0029,1.0,0.0,0.0,0.0,1796619000.0,1796619000.0,7868000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.074,0.0,1.0306,0.0,0.0,0.0,0.0,0.0,0.0,1.023,14.0,0.0,0.0,1770636750.0,1768490500.0,1770636750.0,1.281,0.0,0.0,0.0,0.0,0.0,0.0,AB,21.799999,22.09777780555556,2290892113.113201
2010-12-31,0.0,-0.2522,-0.2806,-0.3175,-0.3333,-0.9087,-0.0069,-0.098,0.0,0.0,0.0,-0.8209,-0.9087,0.0,0.0,0.0,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50168000.0,7243000.0,0.0,0.0,42925000.0,0.0,42925000.0,0.43,0.42,102215686.0,0.12,0.0,0.0,0.0,50168000.0,50168000.0,42925000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162217000.0,28059000.0,0.0,0.0,134158000.0,0.0,134158000.0,1.33,1.32,102215686.0,1.51,0.0,0.0,0.0,162217000.0,162217000.0,134158000.0,17.484,17.488,0.137,0.0,0.0,0.0,0.0,0.0,0.3265,0.279,0.0,0.0,0.0,1787568000.0,1787568000.0,638500.0,742000.0,0.0,0.0,0.0,0.0,0.0,0.076,0.076,0.0,1.1447,0.0,0.0,0.0,0.0,0.0,0.0,1.135,15.0,0.0,0.0,1769083750.0,1766981750.0,1769083750.0,1.502,0.0,0.0,0.0,0.0,0.0,0.0,AB,23.33,23.358571285714294,2384691954.3799996
2010-09-30,0.0,-0.7248,-0.8047,-0.8209,-0.8209,5.5914,0.0377,-0.0608,0.0,0.0,0.0,-0.2439,5.5914,0.0,0.0,0.0,0.1056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18914000.0,6699000.0,0.0,0.0,12215000.0,0.0,12215000.0,0.12,0.12,102215686.0,0.31,0.0,0.0,0.0,18914000.0,18914000.0,12215000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179135000.0,28231000.0,0.0,0.0,150904000.0,0.0,150904000.0,1.53,1.52,102215686.0,2.06,0.0,0.0,0.0,179135000.0,179135000.0,150904000.0,17.055,17.056,0.298,0.0,0.0,0.0,0.0,0.0,2.4932,2.583,0.0,0.0,0.0,1743382000.0,1743382000.0,773500.0,599500.0,0.0,0.0,0.0,0.0,0.0,0.085,0.085,0.0,1.9424,0.0,0.0,0.0,0.0,0.0,0.0,1.346,15.0,0.0,0.0,1772210500.0,1769677250.0,1772210500.0,2.868,0.0,0.0,0.0,0.0,0.0,0.0,AB,26.41,25.342499972222225,2699516267.26
2010-06-30,0.0,-0.1172,-0.1694,-0.2439,-0.2439,8.1726,0.0601,-0.0413,0.0,0.0,0.0,5.5714,8.1726,0.0,0.0,0.0,0.1071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38925000.0,7153000.0,0.0,0.0,31772000.0,0.0,31772000.0,0.31,0.31,101804594.0,0.46,0.0,0.0,0.0,38925000.0,38925000.0,31772000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228944000.0,27725000.0,0.0,0.0,201219000.0,0.0,201219000.0,2.08,2.07,101804594.0,2.16,0.0,0.0,0.0,228944000.0,228944000.0,201219000.0,17.237,17.239,0.455,0.0,0.0,0.0,0.0,0.0,1.4574,1.484,0.0,0.0,0.0,1754978000.0,1754978000.0,0.0,1055000.0,0.0,0.0,0.0,0.0,0.0,0.115,0.115,0.0,1.2724,0.0,0.0,0.0,0.0,0.0,0.0,1.038,11.0,0.0,0.0,1756394000.0,1753549500.0,1756394000.0,2.515,0.0,0.0,0.0,0.0,0.0,0.0,AB,25.84,28.47277777777778,2630630708.96
2010-03-31,0.0,3.2983,6.015,5.7143,5.5714,9.4824,0.1178,0.0125,0.0,1.6102,0.0,1.1379,9.4824,0.0,0.0,0.0,0.1027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54210000.0,6964000.0,0.0,0.0,47246000.0,0.0,47246000.0,0.47,0.46,101351749.0,0.62,0.0,0.0,0.0,54210000.0,54210000.0,47246000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234111000.0,26411000.0,0.0,0.0,207700000.0,0.0,207700000.0,2.18,2.17,101351749.0,1.77,0.0,0.0,0.0,234111000.0,234111000.0,207700000.0,17.59,17.665,0.619,0.0,0.0,0.0,0.0,0.0,1.3289,1.319,0.0,0.0,0.0,1790407000.0,1790407000.0,4677000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.9786,0.0,0.0,0.0,0.0,0.0,0.0,0.812,13.0,0.0,0.0,1731524500.0,1728192000.0,1731524500.0,2.006,0.0,0.0,0.0,0.0,0.0,0.0,AB,30.66,28.143333305555554,3107444624.34
2009-12-31,0.0,1.188,1.4844,1.3333,1.3333,-0.5341,0.124,0.0638,0.0,0.0,0.0,0.1167,-0.5341,0.0,0.0,0.0,0.0589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67086000.0,7415000.0,0.0,0.0,59671000.0,0.0,59671000.0,0.63,0.63,92752989.0,0.67,0.0,0.0,0.0,67086000.0,67086000.0,59671000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192513000.0,25324000.0,0.0,0.0,167189000.0,0.0,167189000.0,1.8,1.8,92752989.0,1.44,0.0,0.0,0.0,192513000.0,192513000.0,167189000.0,19.384,19.407,1.656,0.0,0.0,0.0,0.0,0.0,2.5735,1.063,0.0,0.0,0.0,1800075000.0,1800075000.0,0.0,3154500.0,0.0,0.0,0.0,0.0,0.0,0.099,0.099,0.0,0.7959,0.0,0.0,0.0,0.0,0.0,0.0,0.8,14.0,0.0,0.0,1684355000.0,1681696750.0,1684355000.0,1.435,0.0,0.0,0.0,0.0,0.0,0.0,AB,28.1,26.603142657142854,2606358990.9
2009-09-30,0.0,-0.0578,-0.0284,-0.0822,-0.0822,0.2532,0.0428,-0.0086,0.0,0.0,0.0,-0.5729,0.2532,0.0,0.0,0.0,0.0556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68723000.0,6193000.0,0.0,0.0,62530000.0,0.0,62530000.0,0.67,0.67,92450268.0,0.41,0.0,0.0,0.0,68723000.0,68723000.0,62530000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156088000.0,24552000.0,0.0,0.0,131536000.0,0.0,131536000.0,1.42,1.42,92450268.0,1.37,0.0,0.0,0.0,156088000.0,156088000.0,131536000.0,18.159,18.173,-0.072,0.0,0.0,0.0,0.0,0.0,-0.1061,0.612,0.0,0.0,0.0,1680116000.0,1680116000.0,0.0,3945000.0,0.0,0.0,0.0,0.0,0.0,0.081,0.08,0.0,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.965,16.0,0.0,0.0,1634696750.0,1631262500.0,1634696750.0,3.344,0.0,0.0,0.0,0.0,0.0,0.0,AB,27.280001000000002,23.404166416666666,2522043403.490268
2009-06-30,0.0,-0.5261,-0.5441,-0.5729,-0.5729,0.3356,0.0057,-0.0412,0.0,0.0,0.0,-0.9157,0.3356,0.0,0.0,0.0,0.0521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44092000.0,5839000.0,0.0,0.0,38253000.0,0.0,38253000.0,0.41,0.41,91956176.0,0.07,0.0,0.0,0.0,44092000.0,44092000.0,38253000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160301000.0,26934000.0,0.0,0.0,133367000.0,0.0,133367000.0,1.48,1.48,91956176.0,1.92,0.0,0.0,0.0,160301000.0,160301000.0,133367000.0,17.98,18.003,-0.07,0.0,0.0,0.0,0.0,0.0,-0.1688,0.171,0.0,0.0,0.0,1655500000.0,1655500000.0,0.0,4419500.0,0.0,0.0,0.0,0.0,0.0,0.083,0.082,0.0,2.3009,0.0,0.0,0.0,0.0,0.0,0.0,1.297,12.0,0.0,0.0,1617451250.0,1612587250.0,1617451250.0,3.337,0.0,0.0,0.0,0.0,0.0,0.0,AB,20.09,19.515833444444443,1847399575.84
2009-03-31,0.0,-0.8462,-0.907,-0.9157,-0.9157,0.2312,-0.0173,-0.0648,0.0,0.2012,0.0,-0.7264,0.2312,0.0,0.0,0.0,0.0534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12612000.0,5877000.0,0.0,0.0,6735000.0,0.0,6735000.0,0.07,0.07,91910013.0,0.29,0.0,0.0,0.0,12612000.0,12612000.0,6735000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209251000.0,30226000.0,0.0,0.0,179025000.0,0.0,179025000.0,2.03,2.03,91910013.0,2.68,0.0,0.0,0.0,209251000.0,209251000.0,179025000.0,17.373,17.427,-0.081,0.0,0.0,0.0,0.0,0.0,-1.099,4.143,0.0,0.0,0.0,1601729000.0,1601729000.0,2374000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.111,0.0,1.6959,0.0,0.0,0.0,0.0,0.0,0.0,1.32,6.0,0.0,0.0,1615122000.0,1609022000.0,1615122000.0,3.303,0.0,0.0,0.0,0.0,0.0,0.0,AB,14.72,13.462222194444447,1352915391.3600001
2008-12-31,0.0,-0.7003,-0.7394,-0.7453,-0.7453,31.4034,0.0166,0.0082,0.0,0.0,0.0,-0.5,31.4034,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30661000.0,6643000.0,0.0,0.0,24018000.0,0.0,24018000.0,0.27,0.27,87595926.0,0.6,0.0,0.0,0.0,30661000.0,30661000.0,24018000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278636000.0,33910000.0,0.0,0.0,244726000.0,0.0,244726000.0,2.79,2.79,87595926.0,3.45,0.0,0.0,0.0,278636000.0,278636000.0,244726000.0,18.222,18.282,3.763,0.0,0.0,0.0,0.0,0.0,13.7232,2.222,0.0,0.0,0.0,1601442000.0,1601442000.0,0.0,6142500.0,0.0,0.0,0.0,0.0,0.0,0.152,0.151,0.0,1.2315,0.0,0.0,0.0,0.0,0.0,0.0,1.237,7.0,0.0,0.0,1622180000.0,1615031250.0,1622180000.0,3.441,0.0,0.0,0.0,0.0,0.0,0.0,AB,20.790001,17.873142857142863,1821119389.135926
2008-09-30,0.0,-0.365,-0.386,-0.3967,-0.3917,0.1067,-0.0034,-0.0139,0.0,0.0,0.0,-0.1724,0.1067,0.0,0.0,0.0,0.0112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72936000.0,8575000.0,0.0,0.0,64361000.0,0.0,64361000.0,0.73,0.73,87577430.0,0.96,0.0,0.0,0.0,72936000.0,72936000.0,64361000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350274000.0,37414000.0,0.0,0.0,312860000.0,0.0,312860000.0,3.58,3.58,87577430.0,4.05,0.0,0.0,0.0,350274000.0,350274000.0,312860000.0,18.316,18.397,-0.101,0.0,0.0,0.0,0.0,0.0,-0.138,1.315,0.0,0.0,0.0,1611134000.0,1611134000.0,0.0,7294500.0,0.0,0.0,0.0,0.0,0.0,0.195,0.194,0.0,-0.1249,0.0,0.0,0.0,0.0,0.0,0.0,1.131,9.0,0.0,0.0,1615628000.0,1607857500.0,1615628000.0,-0.446,0.0,0.0,0.0,0.0,0.0,0.0,AB,37.009997999999996,47.92000005555555,3241240509.1451397
