,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,weighted_average_shares_diluted_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,weighted_average_shares_diluted_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,net_debt/ebitda_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2011-06-30,-0.3698,-0.7091,-0.7518,-0.7529,-0.7529,-0.714,0.397,0.0081,3.6893,0.082,0.0,-1.0,-3.1897,0.0,-0.0914,-0.7057,-0.0144,627997000.0,-0.1154,364201000.0,263796000.0,0.0,21632000.0,184751000.0,79045000.0,14829000.0,63591000.0,9508000.0,91000.0,0.0,54083000.0,0.0,54083000.0,0.21,0.21,252166462.0,,0.0,0.4201,0.385,0.1249,0.086,-1.0444,241539000.0,78420000.0,54174000.0,2463288000.0,-0.2748,1384058000.0,1079230000.0,0.0,91565000.0,689349000.0,389881000.0,42352000.0,354786000.0,61430000.0,55000.0,0.0,293356000.0,0.0,293356000.0,1.17,1.16,252166462.0,,0.665,0.4381,0.413,0.1612,0.119,-0.5828,1016124000.0,397138000.0,293411000.0,28.639,49.326,-2.601,13.9661,0.9156,0.4877,0.2831,5.2883,1.56,2.6994,0.0,0.0,0.0344,0.0,350940000.0,12438238000.0,-3640374000.0,15102575000.0,490683500.0,251876000.0,0.0,-5.4926,0.0129,13.6247,-1.2769,-4.916,0.041,0.025,0.0222,0.161,4.0,0.211,2.9154,45.031,75.5725,0.0,5.0201,9.7798,0.0,0.568,32.0,0.0372,0.0,13697073500.0,7162921250.0,11669233500.0,-5.693,9.768,9.3771,0.0257,-2.6786,0.0142,-0.93,-3.7009,NE,34.449298999999996,34.54885377777777,8686957847.210136
2011-03-31,-0.5597,-0.7916,-0.853,-0.8472,-0.8531,-0.8278,0.3659,0.0397,3.218,-0.2834,0.0,0.0,-3.8752,0.0,0.0794,-0.796,-0.0196,578888000.0,-0.3115,331989000.0,246899000.0,0.0,23715000.0,160635000.0,86264000.0,19041000.0,69854000.0,15359000.0,-39000.0,0.0,54495000.0,0.0,54495000.0,0.22,0.21,252336929.0,,0.0,0.4265,0.427,0.1536,0.094,-0.9113,247017000.0,88895000.0,54456000.0,2545213000.0,-0.2901,1311197000.0,1234016000.0,0.0,93741000.0,654633000.0,579383000.0,28033000.0,560238000.0,103040000.0,-36000.0,0.0,457198000.0,0.0,457198000.0,1.81,1.8,252336929.0,,0.715,0.4848,0.46,0.2311,0.18,-0.1886,1170365000.0,588271000.0,457162000.0,28.498,47.278,-2.091,12.5532,2.0159,0.4405,0.2655,4.6686,1.856,1.5923,0.0,0.0,0.041,0.0,519002000.0,11929885000.0,-3128329000.0,13982862000.0,534044000.0,322489000.0,0.0,-7.0796,0.0143,10.7643,-1.0612,-3.8851,0.064,0.042,0.0351,0.231,4.0,0.236,2.6679,56.6643,63.9414,0.0,4.7659,7.8924,0.0,0.395,24.0,0.0368,0.0,11955077500.0,7174586250.0,10785549500.0,-1.903,10.087,20.9849,0.0417,-1.3936,0.0138,-0.6679,-2.9203,NE,39.877621000000005,37.83556699999999,10062596418.96591
2010-12-31,-0.5434,-0.7651,-0.7788,-0.7674,-0.7674,-0.4349,0.346,0.0757,2.6843,-0.4016,0.0,0.0,-15.2802,0.0,0.071,-0.7705,-0.019,643785000.0,-0.3152,352371000.0,291414000.0,0.0,20736000.0,175199000.0,116215000.0,4338000.0,115034000.0,16276000.0,-464000.0,0.0,98758000.0,0.0,98758000.0,0.4,0.4,253123000.0,,0.0,0.4527,0.425,0.1854,0.153,-0.2621,273835000.0,119372000.0,98294000.0,2807176000.0,-0.229,1259270000.0,1547906000.0,0.0,91997000.0,631826000.0,916080000.0,9457000.0,916506000.0,143077000.0,3000.0,0.0,773429000.0,0.0,773429000.0,3.03,3.02,253123000.0,,0.715,0.5514,0.522,0.3299,0.276,0.0823,1465792000.0,925963000.0,773432000.0,28.299,44.652,-0.667,10.9302,1.3348,0.3862,0.2448,27.5178,1.138,3.5562,0.0,0.0,0.0322,0.0,110347000.0,11302387000.0,-3102959000.0,12929766000.0,517434000.0,286307000.0,0.0,-1.4804,0.0125,8.8697,-0.8076,-3.366,0.108,0.077,0.0566,0.33,4.0,0.281,2.1164,48.7348,50.3731,0.0,5.4252,9.8048,0.0,0.236,12.0,0.0328,0.0,10498150000.0,7140476750.0,9986603750.0,0.912,11.09,97.913,0.0761,-0.8589,0.0124,-0.5009,-2.6045,NE,31.267483000000002,30.735015314285718,7914519099.409
2010-09-30,-0.5611,-0.7822,-0.7981,-0.7914,-0.7914,-0.4751,0.3606,0.1271,2.6268,-0.3506,0.0,6.0745,-1.451,0.0,0.1743,-0.7852,-0.0217,612618000.0,-0.3235,335497000.0,277121000.0,0.0,25482000.0,168764000.0,108357000.0,4144000.0,106307000.0,20287000.0,467000.0,0.0,86020000.0,0.0,86020000.0,0.34,0.34,255871647.0,,0.665,0.4524,0.414,0.1803,0.14,-0.1362,253733000.0,110451000.0,86487000.0,3103517000.0,-0.1405,1208793000.0,1894724000.0,0.0,90622000.0,588441000.0,1306283000.0,5543000.0,1309314000.0,188228000.0,467000.0,0.0,1121086000.0,0.0,1121086000.0,4.35,4.34,255871647.0,,0.715,0.6105,0.584,0.4237,0.361,0.1254,1812890000.0,1314857000.0,1121553000.0,27.654,43.015,-0.326,10.6434,1.4353,0.3849,0.2474,26.6532,1.676,3.1536,1.956,0.0,0.0416,0.0,398615000.0,11006424000.0,-2817277000.0,12773091000.0,618524500.0,255328500.0,0.0,-1.3075,0.0173,9.2858,-0.579,-2.4755,0.159,0.121,0.0818,0.424,4.0,0.335,1.7012,32.6886,57.2788,0.0,5.0176,12.155,0.0,0.164,6.0,0.0292,0.0,9260309000.0,7046834000.0,9260231000.0,1.521,12.129,237.2104,0.1112,-0.7959,0.0117,-0.4891,-3.0479,NE,29.536713,29.14869838888889,7557607402.276311
2010-06-30,-0.3288,-0.4467,-0.4439,-0.4333,-0.4295,0.1329,0.159,0.2244,0.0002,-0.3205,0.0,0.0,0.4409,0.0,0.1082,-0.4472,-0.0207,709922000.0,-0.2102,291340000.0,418582000.0,0.0,23808000.0,150035000.0,268547000.0,510000.0,269043000.0,51118000.0,0.0,0.0,217925000.0,0.0,217925000.0,0.85,0.85,255840260.0,,0.05,0.5896,0.557,0.3797,0.307,0.4219,395780000.0,269553000.0,217925000.0,3396534000.0,-0.0478,1147497000.0,2249037000.0,0.0,86840000.0,546698000.0,1702339000.0,1778000.0,1709646000.0,248497000.0,0.0,0.0,1461149000.0,0.0,1461149000.0,5.64,5.63,255840260.0,,0.144,0.6622,0.639,0.5039,0.43,0.1936,2169420000.0,1711424000.0,1461149000.0,28.41,34.801,1.171,2.9355,4.2335,0.1033,0.0844,528.5353,3.861,2.3425,0.059,0.0,0.0335,0.0,1249669000.0,8903502000.0,51366000.0,8134591000.0,582498500.0,202382000.0,0.0,-0.4132,0.0115,-0.8391,-0.2971,-1.6712,0.212,0.171,0.1441,0.504,6.0,0.398,1.4733,21.4764,50.6522,0.0,5.831,16.7828,0.0,0.026,5.0,0.0256,0.0,7963662750.0,6882070250.0,8530968750.0,2.57,13.276,962.5557,0.1785,-0.6945,0.0109,-0.4402,-3.2644,NE,27.01923,26.87791391666667,6912606828.1998005
2010-03-31,-0.1194,-0.172,-0.1052,-0.0886,-0.0949,-0.0801,0.1959,0.268,0.0002,-0.0514,0.0,-1.0,-0.4315,0.0,0.2401,-0.1773,-0.0158,840851000.0,-0.0617,280062000.0,560789000.0,0.0,21971000.0,137828000.0,422961000.0,465000.0,426122000.0,55396000.0,0.0,0.0,370726000.0,0.0,370726000.0,1.44,1.43,257375936.0,,0.0,0.6669,0.645,0.5073,0.441,0.2182,542444000.0,426587000.0,370726000.0,3585484000.0,0.0299,1131373000.0,2454111000.0,0.0,84516000.0,534507000.0,1919604000.0,1629000.0,1927372000.0,292299000.0,0.0,0.0,1635073000.0,0.0,1635073000.0,6.29,6.27,257375936.0,,0.094,0.6845,0.658,0.538,0.456,0.1578,2360187000.0,1929001000.0,1635073000.0,27.409,33.935,0.713,2.9179,3.2937,0.1065,0.086,917.3914,3.301,1.3593,0.0,0.0,0.0261,0.0,1109713000.0,8734102000.0,-87625000.0,8155152000.0,639056000.0,234007000.0,0.0,-0.6359,0.0096,-0.1783,-0.3811,-2.7659,0.248,0.199,0.162,0.538,7.0,0.436,1.28,25.4343,63.3409,0.0,5.6106,15.3221,0.0,0.015,6.0,0.0236,0.0,7764696000.0,6580551000.0,8225623750.0,2.199,13.931,1184.1627,0.205,-0.7296,0.0105,-0.4258,-3.5411,NE,36.555943,36.871600333333326,9408620045.987648
2009-12-31,0.0235,-0.0141,0.0665,0.0818,0.0886,0.1168,0.1815,0.3002,-0.1868,-0.0166,0.0,-1.0,-1.0431,0.0,0.1272,-0.015,-0.0132,940126000.0,0.0329,301894000.0,638232000.0,0.0,19361000.0,131814000.0,506418000.0,424000.0,507842000.0,61427000.0,0.0,0.0,446415000.0,0.0,446415000.0,1.72,1.72,258035000.0,,0.0,0.6789,0.66,0.5406,0.475,-0.011,620933000.0,508266000.0,446415000.0,3640784000.0,0.0564,1110626000.0,2530158000.0,0.0,80262000.0,519414000.0,2010744000.0,1685000.0,2015902000.0,337260000.0,0.0,0.0,1678642000.0,0.0,1678642000.0,6.44,6.42,258035000.0,,0.134,0.6949,0.666,0.5542,0.461,0.1937,2425900000.0,2017587000.0,1678642000.0,26.308,32.542,-0.04,2.9102,2.8504,0.1106,0.0894,1198.7406,3.418,1.3922,0.0,0.0,0.0206,0.0,1049243000.0,8396896000.0,-125274000.0,7978402000.0,652905000.0,228453500.0,0.0,-1.0167,0.0101,0.0249,-0.6721,-5.6083,0.269,0.213,0.1739,0.554,7.0,0.463,1.2729,19.8301,64.9093,0.0,5.5763,15.9367,0.0,0.021,5.0,0.022,0.0,7489956750.0,6230055250.0,7867924000.0,2.733,14.11,1197.381,0.2185,-0.67,0.0104,-0.3932,-3.5059,NE,35.576923,36.27522511428572,9180091326.305
2009-09-30,0.0769,0.0789,0.1139,0.1399,0.1479,0.3045,0.2236,0.3089,0.0331,0.1327,0.0,1.35,2.0183,0.0,0.354,0.0786,-0.0121,905635000.0,0.0506,274201000.0,631434000.0,0.0,21700000.0,127021000.0,504413000.0,379000.0,506639000.0,80556000.0,0.0,0.0,426083000.0,0.0,426083000.0,1.63,1.63,261541366.0,,0.094,0.6972,0.674,0.5598,0.47,0.2042,610263000.0,507018000.0,426083000.0,3610812000.0,0.0721,1095317000.0,2515495000.0,0.0,78077000.0,497064000.0,2018431000.0,3217000.0,2021639000.0,370845000.0,0.0,0.0,1650794000.0,0.0,1650794000.0,6.3,6.28,261541366.0,,0.174,0.6967,0.668,0.5608,0.457,0.2647,2413754000.0,2024856000.0,1650794000.0,24.535,30.93,0.707,2.8711,2.8909,0.117,0.0928,1337.7784,3.222,1.2128,0.058,0.0,0.024,0.0,1105833000.0,8089375000.0,-68920000.0,7586506000.0,706099000.0,269215500.0,0.0,-0.6421,0.0124,-0.0085,-0.3664,-3.2139,0.282,0.219,0.1846,0.561,7.0,0.479,1.255,23.5239,75.816,0.0,5.1137,13.4123,0.0,0.028,5.0,0.0216,0.0,7204851750.0,5855626000.0,7545399750.0,3.655,13.806,629.4237,0.2258,-0.5386,0.01,-0.309,-2.8692,NE,33.18182,31.62223219444445,8678418529.16612
2009-06-30,0.172,0.055,0.0429,0.0714,0.0719,0.0176,0.2093,0.2877,0.0293,0.2366,0.0,-1.0,-0.0568,0.0,0.0924,0.0558,-0.0279,898872000.0,0.1057,275216000.0,623656000.0,0.0,21484000.0,137844000.0,485812000.0,361000.0,486769000.0,94920000.0,0.0,0.0,391849000.0,0.0,391849000.0,1.5,1.49,261255492.0,,0.0,0.6938,0.653,0.5419,0.436,0.2313,586547000.0,487130000.0,391849000.0,3567158000.0,0.0819,1096749000.0,2470409000.0,0.0,72404000.0,488741000.0,1981668000.0,3439000.0,1984353000.0,377120000.0,0.0,0.0,1607233000.0,0.0,1607233000.0,6.1,6.07,261255492.0,,0.12,0.6925,0.663,0.5572,0.451,0.2333,2366116000.0,1987792000.0,1607233000.0,23.204,29.405,0.796,2.8741,2.57,0.1239,0.0977,1349.3906,3.439,1.1499,0.0,0.0,0.0239,0.0,1031133000.0,7682122000.0,-165850000.0,7338724000.0,627286000.0,188859500.0,0.0,-0.5387,0.0099,0.1354,-0.27,-2.4415,0.293,0.224,0.188,0.557,7.0,0.497,1.214,20.9673,70.9758,0.0,5.6867,18.8879,0.0,0.02,4.0,0.0203,0.0,6950530000.0,5492065000.0,7175845250.0,3.186,13.654,578.0145,0.2302,-0.5734,0.0097,-0.3137,-2.9574,NE,26.442308,28.49043325,6908198186.155536
2009-03-31,0.1159,0.097,0.0784,0.1049,0.1127,0.1119,0.1869,0.245,0.0257,0.1368,-1.0,0.0,0.1448,0.0,-0.1672,0.102,-0.0266,896151000.0,0.0403,259315000.0,636836000.0,0.0,17717000.0,122735000.0,514101000.0,521000.0,514652000.0,100357000.0,0.0,0.0,414295000.0,0.0,414295000.0,1.58,1.58,261500479.0,,0.04,0.7106,0.679,0.5749,0.462,0.3602,608157000.0,515173000.0,414295000.0,3481227000.0,0.0844,1102347000.0,2378880000.0,0.0,70587000.0,422879000.0,1956001000.0,3799000.0,1958588000.0,367486000.0,0.0,0.0,1591102000.0,0.0,1591102000.0,6.0,5.97,261500479.0,,0.91,0.6833,0.669,0.5637,0.457,0.2427,2329130000.0,1962387000.0,1591102000.0,21.616,27.928,1.234,2.8712,1.9646,0.1328,0.1028,988.8157,2.609,1.3223,0.025,0.0,0.0198,0.0,779085000.0,7303303000.0,-387472000.0,7056195000.0,616440000.0,193679500.0,1962000.0,-0.4109,0.0094,0.3898,-0.2512,-2.4206,0.307,0.233,0.1939,0.564,7.0,0.509,1.2214,22.8744,68.7698,0.0,5.6473,17.9742,1774.3257,0.152,3.0,0.0203,0.0,6690000250.0,5187279250.0,6843394750.0,3.231,13.313,516.5536,0.2421,-0.5653,0.0102,-0.3156,-2.9954,NE,21.057692000000003,21.637529138888894,5506596544.634469
2008-12-31,0.1787,0.2063,0.2049,0.252,0.254,0.3283,0.2095,0.2543,0.1771,0.0095,0.0,0.0,1.0663,0.0,-0.3564,0.2101,-0.021,910154000.0,0.0944,286585000.0,623569000.0,0.0,17176000.0,109464000.0,514105000.0,1956000.0,513579000.0,95012000.0,0.0,0.0,418567000.0,0.0,418567000.0,1.59,1.58,261479000.0,,0.04,0.6851,0.669,0.5664,0.46,0.2641,608787000.0,515535000.0,418567000.0,3446501000.0,0.1506,1133782000.0,2312719000.0,0.0,74143000.0,404316000.0,1908403000.0,4388000.0,1912458000.0,351463000.0,0.0,0.0,1560995000.0,0.0,1560995000.0,5.85,5.81,264782000.0,,0.91,0.671,0.66,0.5562,0.453,0.2333,2273504000.0,1916846000.0,1560995000.0,20.234,27.179,0.919,3.5318,1.9631,0.1745,0.1299,263.566,1.827,1.3296,0.025,0.0,0.0189,0.0,561348000.0,7106799000.0,-575743000.0,6837982000.0,655268500.0,228751000.0,0.0,-0.5681,0.0084,0.6738,-0.3474,-3.3906,0.316,0.238,0.1959,0.556,8.0,0.526,1.2096,27.4406,69.7229,0.0,5.2597,15.0666,0.0,0.156,3.0,0.0215,0.0,6447776750.0,4940207250.0,6555827000.0,3.036,13.016,436.8382,0.2514,-0.5742,0.0104,-0.3146,-3.04,NE,19.309441,20.9955046,5049013323.239
2008-09-30,0.1776,0.1729,0.2018,0.2017,0.2034,0.0904,0.2001,0.2494,-0.0764,0.2114,-1.0,0.0,0.9279,0.0,-0.3489,0.1878,-0.0073,861981000.0,0.0894,275633000.0,586348000.0,0.0,16027000.0,118698000.0,467650000.0,601000.0,469353000.0,86831000.0,0.0,0.0,382522000.0,0.0,382522000.0,1.43,1.42,264746000.0,,0.04,0.6802,0.653,0.5452,0.444,0.0711,562625000.0,469954000.0,382522000.0,3367959000.0,0.2371,1149795000.0,2218164000.0,0.0,83653000.0,399031000.0,1819133000.0,3662000.0,1825011000.0,335203000.0,0.0,0.0,1489808000.0,0.0,1489808000.0,5.53,5.49,264746000.0,,0.91,0.6586,0.646,0.543,0.442,0.2019,2174686000.0,1828673000.0,1489808000.0,18.745,24.972,0.231,2.7455,0.807,0.1465,0.1099,781.9534,1.737,1.0356,0.028,0.0,0.0186,0.0,409299000.0,6611157000.0,-684006000.0,6569219000.0,604409500.0,251775000.0,2215000.0,-0.8453,0.0114,0.9122,-0.3885,-3.6136,0.317,0.238,0.1938,0.543,8.0,0.539,1.1751,33.132,71.763,0.0,5.5723,13.3769,1520.5233,0.165,7.0,0.0248,0.0,6239954250.0,4694609000.0,6248128750.0,2.568,12.721,499.3646,0.2567,-0.6116,0.011,-0.3179,-3.0945,NE,38.374126000000004,41.36994955555555,10159396361.996
